Eurovoc_term	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149
veterinary	-0.005	-0.002	0.028	0.147	0.054	-0.008	-0.022	0.003	-0.091	-0.101	-0.075	-0.027	0.009	0.007	0.024	0.02	-0.01	-0.05	0.026	0.005	-0.044	-0.023	-0.015	-0.018	-0.022	-0.023	-0.018	0.031	-0.013	-0.003	-0.053	-0.009	-0.015	-0.033	-0.015	-0.005	-0.005	-0.013	-0.02	-0.018	-0.019	-0.01	0.053	-0.004	-0.013	0.023	-0.008	0.023	0.48	0.062	-0.003	-0.096	0.036	0.028	-0.024	0.005	-0.082	-0.01	-0.015	0.125	0.274	-0.021	-0.009	0.274	-0.002	-0.015	-0.018	-0.011	-0.09	-0.016	0.006	0.09	-0.003	-0.004	-0.065	-0.008	-0.034	0.008	-0.012	-0.007	-0.031	-0.014	0.118	-0.027	-0.033	-0.028	-0.024	-0.018	-0.021	-0.04	-0.031	-0.021	-0.003	-0.027	-0.003	0.074	-0.014	-0.008	0.074	-0.044	0.079	-0.012	0.132	0.039	-0.024	-0.003	0.072	-0.026	0.024	-0.014	-0.007	-0.034	-0.041	0.006	-0.03	-0.018	0.05	0.017	0.119	-0.018	-0.025	0.003	0.002	-0.011	0.062	-0.139	-0.007	-0.043	-0.008	-0.005	-0.004	0.048	0.063	-0.022	-0.149	0.004	-0.007	-0.02	-0.014	0.014	-0.018	-0.03	-0.062	-0.019	0.027	-0.013	-0.043	-0.025	0.021	0.006
legislation	-0.006	0.01	0.03	0.156	0.324	-0.01	-0.031	0	-0.102	-0.121	-0.088	-0.033	-0.01	0.004	0.009	0.036	-0.005	0.048	0.019	0.005	-0.05	-0.04	-0.014	-0.024	-0.016	-0.004	-0.016	0.016	-0.013	0.005	-0.057	-0.011	-0.016	-0.04	-0.013	-0.006	-0.006	-0.018	-0.024	-0.013	-0.022	-0.014	0.029	-0.005	-0.007	0.03	-0.031	0.017	0.333	0.047	0.013	-0.122	0.029	0.026	-0.032	0.006	-0.09	-0.012	-0.014	0.094	0.196	-0.024	-0.012	0.209	-0.007	-0.017	0.035	-0.005	-0.11	-0.013	0.034	0.077	-0.003	-0.008	-0.081	-0.005	-0.012	0.027	-0.017	-0.014	-0.03	-0.003	0.117	-0.028	-0.037	-0.031	-0.029	-0.028	-0.017	-0.048	-0.029	-0.025	0.002	-0.032	-0.017	0.172	-0.019	-0.007	0.055	-0.052	0.058	-0.014	0.086	0.032	-0.043	-0.008	0.068	-0.031	0.021	-0.006	0.001	-0.04	-0.044	-0.025	-0.034	-0.024	0.009	0.009	0.269	-0.022	-0.033	-0.028	-0.009	-0.009	0.051	-0.165	-0.009	-0.048	-0.008	-0.027	-0.004	0.029	0.061	-0.029	-0.125	0.001	-0.004	-0.019	-0.006	0.005	-0.024	-0.036	-0.074	-0.012	0.023	-0.015	-0.052	-0.034	0.017	0.012
beef	-0.003	0.013	-0.018	-0.028	-0.058	-0.008	-0.016	-0.001	-0.059	0.053	-0.029	-0.02	-0.014	-0.009	-0.013	0.023	-0.007	-0.027	-0.008	-0.008	-0.018	-0.04	-0.012	-0.019	-0.023	-0.02	-0.008	-0.02	-0.008	-0.002	0.016	-0.006	-0.011	0.15	-0.01	-0.003	-0.003	-0.013	-0.018	-0.008	-0.012	-0.016	-0.016	-0.004	0.019	-0.013	0.022	-0.003	0.091	0.002	-0.013	0.191	-0.009	-0.029	-0.005	-0.011	-0.033	-0.006	-0.013	-0.034	-0.014	-0.02	-0.009	0.018	-0.02	-0.011	-0.001	-0.01	0.228	-0.006	-0.018	-0.015	-0.002	0.01	0.017	-0.005	-0.023	-0.009	-0.018	-0.013	-0.021	-0.005	-0.01	-0.02	-0.02	-0.024	-0.013	-0.034	-0.017	-0.026	-0.025	-0.014	-0.009	-0.017	-0.017	0.001	-0.013	-0.005	-0.01	-0.031	-0.017	-0.009	-0.021	-0.012	-0.031	-0.004	-0.025	-0.015	0.01	-0.008	-0.005	-0.02	-0.009	-0.019	-0.019	-0.012	-0.045	-0.011	-0.052	-0.012	-0.015	0.112	0.019	-0.011	-0.004	-0.081	-0.011	-0.03	-0.01	0.086	-0.006	-0.003	-0.024	-0.018	-0.047	-0.005	-0.013	-0.013	-0.01	0.011	-0.004	-0.021	-0.018	-0.011	-0.022	-0.013	-0.005	-0.023	-0.008	-0.008
information	0.031	0.129	-0.003	0.057	0.065	-0.003	-0.021	-0.002	-0.025	-0.076	0.075	0.001	0.058	-0.002	-0.007	0.009	0.002	0.094	0.026	0.007	-0.001	-0.028	0.022	0.025	0.309	-0.008	0.057	-0.018	-0.009	-0.002	-0.027	0.01	0.013	0.038	-0.011	-0.004	0.017	0.032	0.046	0.007	0.022	0.052	0.072	-0.005	0.05	-0.014	-0.003	0	-0.063	0.005	0.035	-0.066	0.003	0.064	-0.027	0.028	-0.056	0.022	0.018	-0.009	-0.006	0.013	-0.007	0.039	0.016	0.022	0.002	0.006	-0.048	0.036	0.002	0.009	-0.002	0.002	-0.009	0.006	0.065	0.015	-0.006	-0.013	-0.006	0.028	-0.001	0.033	0.006	0.052	0.043	0.045	0.074	-0.011	0.038	0.006	-0.006	-0.013	0.085	0.076	0.002	0.018	0.051	-0.024	-0.015	-0.003	0.021	-0.006	-0.012	-0.012	0.074	0.01	-0.018	0.058	0.031	-0.003	-0.001	-0.013	-0.017	0.03	0.007	-0.004	0.073	-0.007	-0.006	-0.048	-0.021	0.094	0.006	-0.088	-0.014	-0.005	-0.012	-0.047	-0.004	-0.022	0.019	0.023	-0.096	0.004	0.017	0.034	0.021	0.006	-0.014	0.13	0.119	0.267	-0.014	-0.01	-0.012	0.009	-0.009	0.012
verification	0.016	0.088	0	0.005	-0.035	0.005	-0.012	0.001	-0.029	-0.042	0.161	0.007	0.031	0.006	0.011	0.012	0.004	0.027	0	-0.007	-0.002	-0.023	0.017	0.035	0.2	0.01	0.036	-0.014	-0.013	-0.001	-0.012	-0.004	-0.004	0.005	-0.007	-0.002	0.033	0.004	0.01	0.005	0.029	0.007	0.034	-0.003	0.034	-0.009	-0.014	0	-0.034	0.006	0.023	-0.039	0.002	0.037	-0.015	-0.007	-0.032	0.039	0.012	-0.012	-0.009	0.018	0	0.076	-0.013	-0.006	-0.004	-0.007	-0.027	0.011	0.011	0.024	-0.001	-0.004	-0.018	-0.003	0.009	-0.002	0.003	-0.006	0.003	0.01	-0.013	0.052	0.021	0.015	0.017	0.029	0.004	-0.003	-0.004	-0.006	-0.004	-0.01	0.004	0.022	-0.008	0.001	0.075	-0.021	-0.008	-0.006	-0.002	-0.008	-0.015	-0.007	0.01	-0.008	-0.007	0.068	-0.002	0.011	-0.018	-0.004	-0.015	0.05	-0.004	-0.004	-0.016	-0.008	-0.011	0.031	-0.006	-0.007	0.022	-0.043	-0.008	-0.011	-0.007	-0.024	-0.004	-0.013	-0.003	0.012	-0.034	-0.004	-0.002	0.003	-0.003	0.02	-0.007	0.068	0.197	0.153	-0.011	-0.005	-0.006	-0.009	-0.005	0.001
cattle	-0.002	0.055	-0.009	0.06	-0.014	-0.005	-0.012	0.003	-0.036	-0.035	-0.023	-0.011	0.012	-0.005	0.012	0.019	-0.003	0.012	-0.004	0.008	-0.015	-0.021	-0.006	-0.01	0.015	-0.011	0.003	-0.011	-0.005	-0.001	-0.019	-0.003	-0.006	-0.014	-0.005	-0.002	-0.002	-0.004	-0.01	-0.008	-0.007	-0.01	-0.007	-0.002	0.002	0.008	0.012	0.007	0.152	0.02	0.006	-0.024	0.002	-0.009	-0.013	-0.006	-0.02	0	-0.007	0.047	0.002	-0.011	-0.005	0.048	-0.01	-0.006	-0.005	-0.005	0.029	-0.005	0.003	-0.003	-0.001	0.018	-0.026	-0.003	-0.012	0.015	0.01	-0.01	-0.011	0.007	0.103	-0.012	-0.01	-0.013	-0.006	-0.008	-0.009	-0.011	-0.011	-0.009	0.006	-0.008	0.005	0.021	-0.009	-0.003	0.01	-0.016	0.026	-0.005	0.029	-0.006	-0.014	0.005	-0.005	-0.009	-0.009	-0.007	-0.005	-0.01	-0.009	0.066	-0.008	0.035	-0.022	0.005	0.021	-0.006	-0.007	0.012	-0.006	-0.001	0.034	-0.046	-0.004	-0.016	-0.005	0.01	-0.006	0.015	-0.003	-0.009	-0.037	-0.003	-0.007	-0.007	-0.005	0.035	-0.008	-0.014	-0.01	0.001	-0.012	-0.005	-0.016	-0.01	-0.004	-0.006
labelling	0.056	0.012	-0.004	0.129	0.191	-0.006	-0.014	-0.002	-0.02	-0.044	-0.032	-0.012	-0.008	-0.006	-0.016	0.021	-0.003	0.016	0.006	-0.02	-0.019	-0.027	0.01	0.013	-0.01	-0.014	0.039	0	-0.014	0.052	-0.024	-0.004	-0.005	-0.013	-0.007	-0.002	-0.002	-0.003	-0.007	-0.008	-0.006	0.07	-0.014	-0.003	0.038	0.009	-0.018	-0.016	-0.044	0.011	0.018	-0.05	0.005	0.004	-0.016	-0.002	-0.034	-0.002	-0.008	-0.025	-0.011	-0.013	0.016	-0.017	-0.01	-0.008	-0.003	-0.003	-0.035	0.024	0.038	0.005	-0.001	-0.008	-0.026	-0.004	-0.016	-0.001	0.002	0.003	-0.014	0.006	0.008	-0.013	-0.002	0.017	-0.007	0.013	-0.011	-0.016	-0.006	-0.002	0	-0.012	-0.014	0.306	0.024	-0.004	-0.002	-0.02	-0.011	-0.006	-0.012	-0.005	-0.023	0.008	0.06	-0.012	-0.011	-0.003	0.057	-0.015	0.179	-0.01	-0.016	-0.01	-0.033	-0.008	0.077	0.007	-0.014	-0.063	-0.01	-0.007	0.025	-0.039	-0.008	0.058	-0.007	0.008	-0.01	0.01	0.046	-0.008	-0.069	0.033	0.019	-0.006	0.058	0.009	-0.009	-0.014	-0.012	0.004	-0.015	0.005	0.187	0	-0.005	-0.007
health	-0.006	-0.015	0.059	0.181	0.431	-0.007	-0.026	-0.001	-0.101	-0.117	-0.085	-0.033	-0.005	-0.009	0.003	0.016	-0.009	-0.041	0.018	-0.003	-0.047	-0.038	-0.003	-0.023	-0.007	-0.029	-0.024	-0.017	-0.018	-0.004	-0.059	-0.011	-0.007	-0.036	-0.017	-0.005	-0.006	-0.017	-0.025	-0.008	-0.018	-0.014	-0.01	-0.006	-0.009	0.03	-0.041	0.007	0.295	0.034	0.008	-0.125	0.005	0.032	-0.032	0.004	-0.095	-0.008	-0.006	0.069	0.073	-0.035	-0.008	0.247	-0.011	-0.014	0.046	0.01	-0.107	-0.015	0.04	0.031	-0.003	-0.008	-0.084	-0.004	-0.04	0.064	-0.016	-0.015	-0.034	0.034	0.144	-0.024	-0.035	-0.01	-0.029	-0.006	-0.022	-0.051	-0.024	-0.02	0.005	-0.031	-0.007	0.212	-0.018	-0.005	0.025	-0.048	0.047	-0.013	0.079	0.024	-0.045	-0.004	0.166	-0.031	0.037	0.002	-0.013	-0.038	-0.045	-0.022	-0.034	-0.012	-0.004	0.007	0.339	-0.021	-0.033	-0.079	-0.009	-0.015	0.032	-0.159	-0.005	-0.05	-0.007	-0.035	-0.005	0.019	0.09	-0.027	-0.175	-0.008	0.002	-0.018	-0.008	-0.002	-0.02	-0.009	-0.07	0.007	0.016	-0.017	-0.049	-0.035	0.016	-0.003
control	0.006	0.008	0.02	0.174	0.174	0.004	-0.02	0.02	-0.085	-0.105	-0.072	0.014	0.012	0.008	0.019	0.015	-0.004	0.031	0.008	0.001	-0.023	0.01	0.026	0.015	-0.008	-0.003	-0.015	0.041	-0.015	0.022	-0.05	-0.009	0.033	-0.033	-0.013	-0.005	0.019	-0.013	-0.005	0.013	0.003	0.015	0.022	-0.006	-0.003	0.014	-0.034	0.033	0.165	0.027	0.103	-0.009	0.004	0.087	-0.022	0.002	-0.08	-0.007	-0.014	0.044	0.038	-0.016	-0.006	0.158	0.009	0.002	0.047	-0.002	-0.093	-0.012	0.021	0.039	0.004	-0.002	-0.048	0.004	0.077	0.011	-0.005	-0.002	-0.013	0.006	0.13	-0.012	-0.024	0.042	-0.005	0.044	0.023	-0.032	-0.001	-0.001	0.002	-0.018	0.046	0.088	-0.01	-0.008	0.059	0.001	0.053	-0.009	0.108	-0.002	-0.004	0.028	0.05	-0.02	0.035	-0.005	0.002	-0.021	-0.032	0.011	-0.02	-0.016	0.029	0.006	0.16	-0.017	-0.007	-0.097	-0.001	-0.003	0.041	-0.138	-0.006	-0.035	-0.004	-0.029	-0.005	-0.006	0.109	0.062	-0.157	-0.008	0.007	-0.001	-0.005	0.012	-0.011	0.004	-0.049	0.006	0.028	-0.007	-0.043	0.036	0.01	0.005
database	-0.001	0.16	-0.002	0.044	-0.013	0.018	-0.006	0.008	-0.015	-0.018	-0.004	0	0.021	-0.002	0.004	0.044	-0.002	0.081	-0.002	-0.005	-0.003	-0.011	-0.003	-0.005	0.094	-0.006	0.023	-0.007	-0.007	-0.001	-0.01	-0.002	-0.003	0.002	-0.003	-0.001	-0.001	-0.004	0.016	-0.004	-0.003	-0.004	0.02	-0.001	0.01	0.005	-0.011	0.023	0.017	0.038	0.004	-0.017	0.023	0.027	-0.007	-0.003	-0.015	0.003	-0.004	-0.003	-0.005	0.018	-0.002	0.024	-0.006	-0.003	0	-0.003	-0.01	0.02	-0.005	-0.004	-0.001	-0.009	0.002	-0.001	-0.001	-0.004	-0.002	-0.006	-0.002	0	-0.005	-0.001	-0.007	-0.005	0.009	0.012	0	-0.004	-0.002	-0.004	-0.002	0	0.023	0.049	0.008	0.011	0.022	-0.008	-0.003	-0.002	-0.006	-0.003	0.003	0.014	0.004	-0.004	-0.007	-0.003	-0.004	-0.006	-0.003	-0.005	-0.006	-0.002	-0.003	-0.003	0.006	-0.003	-0.001	-0.019	-0.008	-0.003	0.057	-0.023	-0.003	-0.008	-0.003	-0.011	-0.004	-0.005	-0.001	-0.005	-0.027	-0.001	0.007	-0.004	-0.001	0.074	-0.004	0.012	-0.005	0.046	-0.006	-0.003	-0.002	0.005	-0.002	-0.003
finland	-0.002	0	-0.008	0.004	-0.007	0.003	-0.01	0.027	-0.019	0.083	-0.02	0.007	-0.007	-0.004	-0.004	0.02	0	-0.015	-0.003	-0.009	0.005	-0.011	0.007	-0.009	-0.003	-0.004	-0.002	0	-0.001	-0.001	-0.015	-0.003	0.009	0.029	-0.004	-0.001	-0.001	-0.006	0.009	0.013	0.038	-0.005	-0.009	-0.002	0	-0.003	0.061	0.188	-0.021	-0.01	-0.014	0.011	0.001	-0.008	-0.011	-0.005	-0.015	-0.003	-0.004	0.018	-0.009	-0.007	0.001	0	-0.009	0.001	-0.003	-0.004	-0.016	-0.002	-0.006	0.003	-0.001	-0.009	0.046	-0.002	-0.008	-0.006	-0.008	-0.009	0.016	-0.002	-0.004	-0.01	-0.006	-0.007	-0.004	0	0.009	0.027	-0.006	-0.002	-0.004	-0.008	-0.011	0.002	-0.009	-0.002	-0.008	-0.014	-0.008	-0.004	0.002	-0.005	-0.007	0.012	-0.012	-0.008	-0.011	-0.005	-0.001	0.027	-0.006	0.02	-0.01	-0.006	0.021	-0.005	-0.015	-0.005	-0.008	0.022	-0.01	-0.002	-0.01	-0.033	-0.005	-0.011	-0.004	-0.02	-0.004	-0.007	-0.003	0.02	-0.041	-0.002	0.013	-0.006	-0.004	0.086	-0.006	-0.012	0.002	0.004	-0.01	-0.006	0.013	-0.006	-0.003	-0.005
veal	-0.002	0.032	-0.011	-0.003	-0.039	-0.006	-0.015	0.001	-0.042	0.006	-0.019	-0.013	-0.006	-0.006	-0.009	0.027	-0.005	-0.003	-0.005	0.002	-0.002	-0.026	-0.008	-0.013	-0.006	-0.013	-0.001	-0.008	-0.012	-0.001	-0.016	-0.004	-0.007	0.193	-0.006	-0.002	-0.002	-0.009	-0.011	-0.002	-0.008	-0.011	-0.008	-0.003	0.04	-0.009	0.01	0.007	0.046	0.019	0.001	0.158	-0.002	-0.002	-0.006	-0.007	-0.024	-0.002	-0.009	-0.006	-0.002	-0.013	-0.006	0.06	-0.013	-0.007	0.01	-0.007	0.087	0.002	-0.013	-0.009	-0.001	0.015	0.024	-0.003	-0.015	-0.003	-0.012	-0.014	-0.014	0.004	-0.002	-0.012	-0.011	-0.015	0	-0.018	-0.011	-0.015	-0.018	-0.01	-0.006	-0.01	-0.002	0.028	-0.01	-0.004	0.009	-0.02	-0.013	-0.006	-0.014	-0.008	-0.019	0.002	-0.013	-0.008	-0.017	-0.002	-0.007	-0.01	-0.014	-0.02	-0.014	-0.005	-0.026	-0.008	-0.032	-0.008	-0.012	0.1	-0.004	-0.007	0.007	-0.054	-0.008	-0.02	-0.007	0.05	-0.008	0.009	-0.014	-0.012	-0.043	-0.004	-0.011	-0.009	-0.007	0.029	-0.01	-0.009	-0.012	0.004	-0.013	-0.008	-0.013	-0.015	-0.005	-0.008
turkey	-0.001	0.007	-0.002	-0.004	-0.007	-0.002	-0.006	-0.001	0.015	-0.017	-0.009	-0.005	-0.005	-0.002	-0.008	-0.004	0.004	0.038	-0.002	0.021	-0.007	-0.008	-0.003	-0.005	-0.009	0.029	-0.005	0.001	0.029	-0.001	-0.008	-0.002	-0.003	0.002	-0.002	-0.001	-0.001	0.011	-0.005	-0.001	-0.002	-0.005	0.001	0.005	0.01	-0.003	0.04	-0.002	-0.006	-0.005	0.006	-0.018	-0.001	-0.005	-0.002	-0.003	-0.007	-0.002	-0.003	0.006	0.037	-0.005	-0.002	0.021	0	-0.003	-0.004	-0.002	-0.004	-0.003	-0.005	-0.002	0	0.004	-0.006	-0.001	0.008	-0.003	0.003	-0.005	-0.005	-0.003	-0.003	-0.006	-0.005	-0.007	-0.006	-0.002	-0.004	-0.008	0.01	-0.004	-0.002	-0.005	-0.003	0.007	-0.006	-0.001	-0.006	-0.004	0.008	-0.002	0.003	0.68	-0.008	-0.003	0.001	0.045	-0.005	0.035	-0.003	-0.002	-0.003	-0.009	0.002	0.023	0.011	-0.003	-0.011	-0.003	0.009	-0.013	0.04	-0.003	-0.004	-0.021	-0.003	-0.008	-0.003	0.006	0.022	0.001	-0.006	-0.002	0.01	-0.001	0.003	-0.003	0.004	-0.004	-0.004	0.015	-0.008	0.002	-0.006	0.039	-0.008	-0.006	-0.002	-0.003
import	-0.011	-0.03	0.003	-0.085	-0.129	-0.021	0.126	-0.005	0.071	-0.15	-0.081	-0.05	-0.051	-0.025	-0.078	-0.037	-0.023	0.063	0.002	-0.04	-0.09	-0.1	-0.026	-0.016	-0.036	0.033	-0.055	-0.066	-0.003	-0.006	-0.045	-0.019	-0.031	-0.089	-0.025	-0.004	-0.01	-0.023	-0.044	-0.037	-0.034	-0.053	-0.038	-0.011	-0.023	-0.005	-0.044	-0.081	0.01	-0.049	-0.06	-0.162	-0.023	-0.088	-0.046	-0.004	0.047	-0.021	-0.037	-0.108	-0.054	-0.041	-0.021	0.022	-0.041	-0.032	-0.021	-0.027	0.236	-0.032	-0.026	0.004	-0.006	0	-0.123	-0.012	-0.067	-0.04	-0.005	-0.049	-0.055	-0.035	-0.029	-0.054	0.042	-0.075	-0.059	-0.059	-0.05	-0.089	-0.064	-0.046	-0.025	-0.054	-0.078	-0.053	-0.025	-0.017	-0.083	-0.073	-0.027	-0.022	-0.009	0.013	-0.091	-0.016	-0.019	-0.049	0.003	-0.037	-0.02	-0.062	-0.087	-0.094	0.063	-0.037	-0.15	-0.012	-0.138	-0.002	-0.058	-0.061	-0.034	-0.033	-0.061	0.48	-0.028	-0.026	-0.023	0.104	-0.024	-0.014	-0.074	-0.051	0.691	-0.011	-0.039	-0.017	-0.025	-0.039	-0.019	-0.08	-0.115	-0.064	-0.061	-0.018	-0.088	-0.068	-0.003	0.001
restriction	-0.004	-0.012	0.012	-0.018	0.008	0.038	-0.015	0.015	-0.009	-0.049	-0.033	-0.016	-0.013	-0.01	-0.01	-0.008	-0.007	0.037	-0.003	0.088	-0.029	-0.034	-0.011	-0.006	0.019	0.08	-0.022	-0.02	0.006	-0.002	0.017	0.005	-0.006	-0.003	-0.002	0.007	-0.004	0.007	-0.001	-0.001	-0.014	-0.014	-0.001	-0.005	-0.01	0.068	-0.009	0.016	0.047	0.059	-0.004	-0.063	-0.011	-0.007	0.034	-0.003	-0.043	-0.004	-0.005	0.008	0.032	-0.018	0.005	0.035	0.054	-0.01	0.016	-0.004	0.169	-0.004	-0.013	-0.014	-0.002	-0.004	-0.009	-0.006	-0.006	-0.012	0.034	-0.001	-0.018	0.009	-0.005	0.066	0.104	-0.008	0.011	0.035	-0.016	-0.009	-0.02	-0.011	0.004	0.144	-0.025	-0.019	0.011	-0.006	-0.01	0.18	0.042	-0.006	0.01	0.012	-0.031	-0.001	0.001	-0.016	0.064	-0.014	-0.003	-0.016	-0.016	-0.031	-0.017	-0.01	-0.048	-0.002	0.002	-0.009	-0.021	-0.006	0.001	0.001	0.014	-0.086	-0.002	-0.006	0.013	0.101	0	-0.001	-0.019	-0.017	-0.006	0.004	-0.01	0.015	-0.008	0.014	0.073	-0.029	-0.019	-0.012	-0.014	0.004	-0.029	0.039	-0.005	0.021
mollusc	-0.001	-0.005	0.028	0.022	0.032	-0.003	-0.005	-0.001	-0.009	-0.019	-0.014	-0.006	-0.006	-0.002	-0.01	-0.005	0.001	-0.004	0.075	0.012	-0.009	0.011	0.008	-0.005	-0.008	-0.006	-0.004	-0.005	-0.003	-0.001	-0.003	-0.002	-0.003	-0.01	-0.003	-0.001	-0.001	0.003	-0.005	-0.004	-0.003	-0.004	0.001	-0.001	0.003	0.001	-0.014	0.027	0.076	-0.006	-0.01	-0.022	-0.004	-0.004	-0.007	0.009	-0.015	-0.003	-0.004	0.035	0.001	-0.006	-0.002	0.071	-0.003	-0.003	-0.004	-0.003	-0.017	-0.004	-0.005	-0.004	-0.001	-0.009	-0.014	-0.001	-0.006	0	0.012	-0.006	-0.006	-0.004	0.012	-0.006	-0.007	-0.007	0.005	-0.009	-0.005	-0.008	-0.005	-0.004	-0.003	-0.006	0.001	0.022	0.004	-0.002	-0.008	-0.009	0.004	-0.002	0.019	0.067	0.004	0.003	0.052	-0.005	0.033	-0.003	0.011	-0.006	-0.003	-0.01	-0.006	-0.004	-0.013	-0.003	0.02	-0.003	-0.006	-0.017	-0.007	-0.003	0	-0.025	-0.003	-0.006	-0.003	-0.005	-0.001	0.013	0.008	-0.004	-0.028	-0.001	0.006	-0.004	-0.003	0	-0.004	-0.002	-0.014	-0.002	0.025	-0.003	-0.001	-0.007	0.078	0.018
risk	-0.002	-0.009	0.105	0.019	0.243	-0.005	-0.009	-0.002	-0.033	-0.034	-0.027	-0.01	-0.003	-0.004	-0.008	-0.004	-0.003	-0.005	0.001	-0.019	-0.015	-0.015	0.016	-0.004	0.006	-0.011	-0.004	0.013	-0.012	-0.001	-0.015	-0.003	0.005	-0.016	-0.005	-0.002	-0.002	0	-0.004	0.003	-0.005	-0.006	-0.01	-0.002	0.002	0.002	-0.02	-0.011	0.004	-0.001	0.002	-0.038	-0.005	0.005	-0.013	0	-0.027	-0.005	0.005	-0.002	0.038	-0.009	-0.004	0.004	-0.011	-0.006	0.001	-0.002	-0.032	0	0.01	-0.007	-0.001	-0.01	-0.022	-0.003	-0.009	0	-0.011	-0.005	-0.005	0.021	0.032	-0.01	-0.013	0.022	-0.009	-0.003	-0.008	-0.014	-0.011	-0.004	-0.005	-0.01	-0.003	0.218	-0.012	-0.003	-0.013	-0.012	-0.001	0	0.038	0.019	-0.013	0.009	0.042	-0.009	0.01	-0.004	-0.004	-0.012	-0.015	-0.014	-0.01	-0.006	-0.01	-0.004	0.164	-0.006	-0.011	-0.071	-0.015	-0.006	-0.009	-0.047	0.002	-0.016	-0.005	-0.024	-0.007	-0.012	0.029	-0.004	-0.052	0.003	0.021	-0.007	0.019	-0.004	-0.007	-0.004	-0.021	0.017	-0.005	-0.006	-0.015	-0.006	0	-0.003
originating	0.017	-0.001	0.038	0.009	-0.015	-0.002	0.205	0	0.018	-0.067	-0.023	-0.018	-0.026	-0.012	-0.016	-0.017	-0.007	0.243	0.012	0.066	-0.037	-0.025	-0.003	0.019	0	0.101	-0.01	-0.021	0.034	-0.003	0.033	-0.008	-0.003	-0.039	-0.008	0.005	-0.004	-0.01	-0.018	-0.017	-0.016	-0.022	-0.021	-0.004	-0.006	-0.013	-0.001	-0.024	0.022	-0.011	-0.001	-0.094	-0.012	-0.002	0.006	0.007	-0.02	-0.004	-0.01	-0.026	-0.025	-0.006	-0.003	0.119	-0.025	-0.015	-0.013	-0.013	0.118	-0.011	0.007	-0.017	-0.003	0.038	-0.052	-0.001	-0.027	-0.018	0.005	-0.017	-0.019	-0.017	-0.01	-0.029	0.036	-0.032	-0.024	0.022	-0.022	-0.04	-0.02	-0.021	0.002	-0.025	-0.036	0.027	0.005	-0.007	-0.029	-0.033	-0.01	-0.006	-0.011	0.039	-0.039	-0.002	-0.001	-0.022	0.044	-0.013	-0.002	-0.027	-0.016	-0.041	0.12	-0.02	-0.061	0	-0.046	0.037	-0.022	0.006	0.012	-0.011	-0.027	-0.095	-0.005	0.038	-0.005	0.092	-0.005	-0.011	-0.028	-0.021	0.229	-0.007	0.009	0.021	-0.003	-0.02	0.003	-0.036	-0.053	-0.029	-0.025	0.003	-0.012	-0.032	0.02	0.025
product	0.017	-0.027	0.019	0.069	0.234	-0.017	0.081	-0.006	0.076	-0.137	-0.018	-0.036	-0.046	0	-0.055	-0.027	-0.019	0.084	0.005	0.044	-0.067	-0.08	-0.011	-0.009	-0.007	0.075	-0.015	-0.048	0.009	0.011	0.022	-0.018	-0.016	-0.051	-0.021	-0.004	-0.002	-0.026	-0.037	0.029	-0.012	-0.035	-0.025	-0.01	0.014	0.022	0.017	-0.045	0.081	-0.021	-0.015	-0.077	0.003	-0.021	-0.006	-0.008	-0.025	-0.016	-0.023	-0.079	-0.04	-0.038	-0.014	0.084	-0.048	-0.031	-0.031	-0.024	0.115	-0.009	0.015	0.006	-0.005	0.051	-0.081	-0.01	-0.059	-0.024	-0.019	-0.044	-0.047	0.02	-0.009	-0.056	0.014	-0.03	-0.043	0.017	-0.044	-0.079	-0.056	-0.036	-0.011	-0.052	-0.064	0.032	-0.002	-0.013	-0.049	-0.07	-0.034	-0.019	-0.027	0.011	-0.081	-0.001	-0.004	-0.046	0.01	-0.01	0.003	-0.049	0.171	-0.075	0.06	-0.037	-0.121	-0.018	0.053	0.055	-0.054	-0.004	0.006	-0.025	-0.035	-0.034	-0.009	-0.002	-0.017	0.142	-0.021	0.009	0.007	-0.041	0.079	-0.009	-0.003	-0.004	-0.003	-0.042	-0.026	-0.062	0.112	-0.029	-0.04	0.01	0.163	-0.034	0.012	0.009
